,year,gender,course,intake,enrolment,graduates,IHL_type
1522,2019,Male,Engineering Sciences,4953,15852,4790,Polytechnic
1523,2019,Male,Health Sciences,691,1988,596,Polytechnic
1524,2019,Male,Humanities & Social Sciences,66,242,83,Polytechnic
1525,2019,Male,Information Technology,1921,5927,1705,Polytechnic
1526,2019,Male,Law,36,104,35,Polytechnic
1527,2019,Male,Mass Communication,153,490,154,Polytechnic
1528,2019,Male,Natural & Mathematical Sciences,445,1423,475,Polytechnic
1529,2019,Male,Services,521,1764,581,Polytechnic
1530,2020,Male,Applied Arts,662,2113,670,Polytechnic
1531,2020,Male,"Architecture, Building & Real Estate",295,904,283,Polytechnic
1532,2020,Male,Business & Administration,1635,5149,1818,Polytechnic
1533,2020,Male,Education,50,163,52,Polytechnic
1534,2020,Male,Engineering Sciences,4695,15311,4964,Polytechnic
1535,2020,Male,Health Sciences,674,2031,586,Polytechnic
1536,2020,Male,Humanities & Social Sciences,70,211,89,Polytechnic
1537,2020,Male,Information Technology,1883,5824,1808,Polytechnic
1538,2020,Male,Law,48,118,31,Polytechnic
1539,2020,Male,Mass Communication,134,458,159,Polytechnic
1540,2020,Male,Natural & Mathematical Sciences,440,1090,471,Polytechnic
1541,2020,Male,Services,416,1706,526,Polytechnic
1542,2021,Male,Applied Arts,659,1997,717,Polytechnic
1543,2021,Male,"Architecture, Building & Real Estate",336,916,299,Polytechnic
1544,2021,Male,Business & Administration,1610,4927,1759,Polytechnic
1545,2021,Male,Education,43,148,57,Polytechnic
1546,2021,Male,Engineering Sciences,4376,14172,4906,Polytechnic
1547,2021,Male,Health Sciences,687,2063,617,Polytechnic
1548,2021,Male,Humanities & Social Sciences,62,197,74,Polytechnic
1549,2021,Male,Information Technology,2040,5844,1879,Polytechnic
1550,2021,Male,Law,35,143,30,Polytechnic
1551,2021,Male,Mass Communication,107,393,169,Polytechnic
1552,2021,Male,Natural & Mathematical Sciences,413,1285,444,Polytechnic
1553,2021,Male,Services,388,1444,611,Polytechnic
1554,2022,Male,Applied Arts,666,1989,638,Polytechnic
1555,2022,Male,"Architecture, Building & Real Estate",353,959,279,Polytechnic
1556,2022,Male,Business & Administration,1506,4728,1557,Polytechnic
1557,2022,Male,Education,54,148,52,Polytechnic
1558,2022,Male,Engineering Sciences,4450,13702,4549,Polytechnic
1559,2022,Male,Health Sciences,692,2131,639,Polytechnic
1560,2022,Male,Humanities & Social Sciences,57,189,63,Polytechnic
1561,2022,Male,Information Technology,2110,5970,1803,Polytechnic
1562,2022,Male,Law,44,159,38,Polytechnic
1563,2022,Male,Mass Communication,107,350,143,Polytechnic
1564,2022,Male,Natural & Mathematical Sciences,327,961,349,Polytechnic
1565,2022,Male,Services,369,1237,532,Polytechnic
1566,2023,Male,Applied Arts,653,1969,620,Polytechnic
1567,2023,Male,"Architecture, Building & Real Estate",313,1012,245,Polytechnic
1568,2023,Male,Business & Administration,1607,4704,1537,Polytechnic
1569,2023,Male,Education,48,139,49,Polytechnic
1570,2023,Male,Engineering Sciences,4426,13291,4261,Polytechnic
1571,2023,Male,Health Sciences,689,2151,647,Polytechnic
1572,2023,Male,Humanities & Social Sciences,76,190,67,Polytechnic
1573,2023,Male,Information Technology,2163,6225,1702,Polytechnic
1574,2023,Male,Law,38,143,61,Polytechnic
1575,2023,Male,Mass Communication,91,307,125,Polytechnic
1576,2023,Male,Natural & Mathematical Sciences,389,989,311,Polytechnic
1577,2023,Male,Services,398,1277,429,Polytechnic
1578,2024,Male,Applied Arts,650,1933,625,Polytechnic
1579,2024,Male,"Architecture, Building & Real Estate",302,995,310,Polytechnic
1580,2024,Male,Business & Administration,1759,5033,1544,Polytechnic
1581,2024,Male,Education,93,261,62,Polytechnic
1582,2024,Male,Engineering Sciences,3889,12224,3816,Polytechnic
1583,2024,Male,Health Sciences,536,1836,591,Polytechnic
1584,2024,Male,Humanities & Social Sciences,71,200,56,Polytechnic
1585,2024,Male,Information Technology,2242,6916,1915,Polytechnic
1586,2024,Male,Law,35,133,47,Polytechnic
1587,2024,Male,Mass Communication,77,284,107,Polytechnic
1588,2024,Male,Natural & Mathematical Sciences,458,1170,355,Polytechnic
1589,2024,Male,Services,469,1365,392,Polytechnic
1590,2005,Male,Accountancy,346,829,211,University
1591,2005,Male,"Architecture, Building & Real Estate",124,524,74,University
1592,2005,Male,Business & Administration,644,1915,358,University
1593,2005,Male,Dentistry,14,72,22,University
1594,2005,Male,Engineering Sciences,2858,11731,2659,University
1595,2005,Male,Fine & Applied Arts,60,143,11,University
1596,2005,Male,Health Sciences,27,81,16,University
1597,2005,Male,Humanities & Social Sciences,589,1944,401,University
1598,2005,Male,Information Technology,493,1591,362,University
1599,2005,Male,Law,95,346,62,University
1600,2005,Male,Mass Communication,42,137,36,University
1601,2005,Male,Medicine,130,690,123,University
1602,2005,Male,Natural & Mathematical Sciences,697,1973,366,University
1603,2005,Male,Services,18,28,0,University
1604,2006,Male,Accountancy,377,1025,176,University
1605,2006,Male,"Architecture, Building & Real Estate",153,526,136,University
1606,2006,Male,Business & Administration,737,2193,432,University
1607,2006,Male,Dentistry,16,70,18,University
1608,2006,Male,Engineering Sciences,3076,11969,2674,University
1609,2006,Male,Fine & Applied Arts,96,223,11,University
1610,2006,Male,Health Sciences,39,94,24,University
1611,2006,Male,Humanities & Social Sciences,760,2250,460,University
1612,2006,Male,Information Technology,543,1709,401,University
1613,2006,Male,Law,136,409,70,University
1614,2006,Male,Mass Communication,27,130,33,University
1615,2006,Male,Medicine,132,685,135,University
1616,2006,Male,Natural & Mathematical Sciences,646,2144,429,University
1617,2006,Male,Services,32,60,0,University
1618,2007,Male,Accountancy,375,1160,260,University
1619,2007,Male,"Architecture, Building & Real Estate",140,545,111,University
1620,2007,Male,Business & Administration,664,2312,491,University
1621,2007,Male,Dentistry,16,65,21,University
1622,2007,Male,Engineering Sciences,2872,11489,3108,University
1623,2007,Male,Fine & Applied Arts,95,282,28,University
1624,2007,Male,Health Sciences,52,128,19,University
1625,2007,Male,Humanities & Social Sciences,756,2491,484,University
1626,2007,Male,Information Technology,527,1836,367,University
1627,2007,Male,Law,124,457,84,University
1628,2007,Male,Mass Communication,46,147,28,University
1629,2007,Male,Medicine,134,671,144,University
1630,2007,Male,Natural & Mathematical Sciences,722,2373,456,University
1631,2007,Male,Services,23,83,0,University
1632,2008,Male,Accountancy,417,1229,295,University
1633,2008,Male,"Architecture, Building & Real Estate",180,578,136,University
1634,2008,Male,Business & Administration,593,2425,503,University
1635,2008,Male,Dentistry,23,70,18,University
1636,2008,Male,Engineering Sciences,2534,10266,2633,University
1637,2008,Male,Fine & Applied Arts,107,342,31,University
1638,2008,Male,Health Sciences,62,176,10,University
1639,2008,Male,Humanities & Social Sciences,852,2826,505,University
1640,2008,Male,Information Technology,726,2760,625,University
1641,2008,Male,Law,135,494,94,University
1642,2008,Male,Mass Communication,36,145,32,University
1643,2008,Male,Medicine,133,670,131,University
1644,2008,Male,Natural & Mathematical Sciences,928,2762,491,University
1645,2008,Male,Services,29,96,14,University
1646,2009,Male,Accountancy,479,1412,342,University
1647,2009,Male,"Architecture, Building & Real Estate",180,632,120,University
1648,2009,Male,Business & Administration,695,2439,627,University
1649,2009,Male,Dentistry,19,77,12,University
1650,2009,Male,Engineering Sciences,2921,10304,2753,University
1651,2009,Male,Fine & Applied Arts,121,409,47,University
1652,2009,Male,Health Sciences,91,242,22,University
1653,2009,Male,Humanities & Social Sciences,944,3162,573,University
1654,2009,Male,Information Technology,671,2843,441,University
1655,2009,Male,Law,197,610,89,University
1656,2009,Male,Mass Communication,66,176,36,University
1657,2009,Male,Medicine,134,682,122,University
1658,2009,Male,Natural & Mathematical Sciences,1031,3144,606,University
1659,2009,Male,Services,21,103,13,University
1660,2010,Male,Accountancy,480,1486,380,University
1661,2010,Male,"Architecture, Building & Real Estate",146,669,90,University
1662,2010,Male,Business & Administration,706,2476,658,University
1663,2010,Male,Dentistry,17,76,16,University
1664,2010,Male,Engineering Sciences,2936,10889,2840,University
1665,2010,Male,Fine & Applied Arts,159,473,84,University
1666,2010,Male,Health Sciences,87,281,39,University
1667,2010,Male,Humanities & Social Sciences,884,3319,736,University
1668,2010,Male,Information Technology,663,2287,469,University
1669,2010,Male,Law,175,640,138,University
1670,2010,Male,Mass Communication,42,185,30,University
1671,2010,Male,Medicine,139,685,134,University
1672,2010,Male,Natural & Mathematical Sciences,935,3412,594,University
1673,2010,Male,Services,86,161,29,University
1674,2011,Male,Accountancy,482,1627,332,University
1675,2011,Male,"Architecture, Building & Real Estate",160,694,121,University
1676,2011,Male,Business & Administration,727,2543,633,University
1677,2011,Male,Dentistry,19,79,16,University
1678,2011,Male,Education,104,451,103,University
1679,2011,Male,Engineering Sciences,3007,11026,2772,University
1680,2011,Male,Fine & Applied Arts,167,539,84,University
1681,2011,Male,Health Sciences,83,319,42,University
1682,2011,Male,Humanities & Social Sciences,793,3242,708,University
1683,2011,Male,Information Technology,693,2465,388,University
1684,2011,Male,Law,192,706,121,University
1685,2011,Male,Mass Communication,39,183,41,University
1686,2011,Male,Medicine,132,681,136,University
1687,2011,Male,Natural & Mathematical Sciences,917,3340,619,University
1688,2011,Male,Services,118,252,24,University
1689,2012,Male,Accountancy,531,1685,447,University
1690,2012,Male,"Architecture, Building & Real Estate",179,710,155,University
1691,2012,Male,Business & Administration,743,2705,572,University
1692,2012,Male,Dentistry,23,81,21,University
1693,2012,Male,Education,73,408,111,University
1694,2012,Male,Engineering Sciences,3092,11400,2608,University
1695,2012,Male,Fine & Applied Arts,166,586,108,University
1696,2012,Male,Health Sciences,88,345,61,University
1697,2012,Male,Humanities & Social Sciences,838,3327,737,University
1698,2012,Male,Information Technology,674,2617,484,University
1699,2012,Male,Law,183,757,140,University
1700,2012,Male,Mass Communication,37,184,37,University
1701,2012,Male,Medicine,143,695,129,University
1702,2012,Male,Natural & Mathematical Sciences,862,3258,837,University
1703,2012,Male,Services,127,345,54,University
1704,2013,Male,Accountancy,506,1768,399,University
1705,2013,Male,"Architecture, Building & Real Estate",182,760,143,University
1706,2013,Male,Business & Administration,803,2782,693,University
1707,2013,Male,Dentistry,23,83,21,University
1708,2013,Male,Education,68,307,163,University
1709,2013,Male,Engineering Sciences,3251,11294,3070,University
1710,2013,Male,Fine & Applied Arts,200,628,138,University
1711,2013,Male,Health Sciences,137,387,95,University
1712,2013,Male,Humanities & Social Sciences,1054,3550,818,University
1713,2013,Male,Information Technology,735,2737,573,University
1714,2013,Male,Law,195,755,189,University
1715,2013,Male,Mass Communication,51,173,62,University
1716,2013,Male,Medicine,165,725,134,University
1717,2013,Male,Natural & Mathematical Sciences,807,3140,870,University
1718,2013,Male,Services,139,371,136,University
1719,2014,Male,Accountancy,655,1912,473,University
1720,2014,Male,"Architecture, Building & Real Estate",156,777,146,University
1721,2014,Male,Business & Administration,837,2980,631,University
1722,2014,Male,Dentistry,16,84,15,University
1723,2014,Male,Education,68,252,120,University
1724,2014,Male,Engineering Sciences,3497,11556,3047,University
1725,2014,Male,Fine & Applied Arts,187,641,165,University
1726,2014,Male,Health Sciences,165,422,124,University
1727,2014,Male,Humanities & Social Sciences,1022,3756,803,University
1728,2014,Male,Information Technology,823,2809,708,University
1729,2014,Male,Law,227,799,180,University
1730,2014,Male,Mass Communication,46,174,44,University
1731,2014,Male,Medicine,197,784,134,University
1732,2014,Male,Natural & Mathematical Sciences,919,3223,786,University
1733,2014,Male,Services,54,286,135,University
1734,2015,Male,Accountancy,640,2039,480,University
1735,2015,Male,"Architecture, Building & Real Estate",157,784,188,University
1736,2015,Male,Business & Administration,848,3111,771,University
1737,2015,Male,Dentistry,20,85,19,University
1738,2015,Male,Education,47,204,96,University
1739,2015,Male,Engineering Sciences,3505,11707,3078,University
1740,2015,Male,Fine & Applied Arts,222,665,187,University
1741,2015,Male,Health Sciences,152,441,128,University
1742,2015,Male,Humanities & Social Sciences,1033,3861,743,University
1743,2015,Male,Information Technology,858,3049,689,University
1744,2015,Male,Law,234,844,187,University
1745,2015,Male,Mass Communication,40,174,42,University
1746,2015,Male,Medicine,214,860,137,University
1747,2015,Male,Natural & Mathematical Sciences,859,3237,790,University
1748,2015,Male,Services,105,352,154,University
1749,2016,Male,Accountancy,609,2181,439,University
1750,2016,Male,"Architecture, Building & Real Estate",167,775,185,University
1751,2016,Male,Business & Administration,959,3284,751,University
1752,2016,Male,Dentistry,15,75,25,University
1753,2016,Male,Education,45,166,79,University
1754,2016,Male,Engineering Sciences,3664,12116,3016,University
1755,2016,Male,Fine & Applied Arts,161,670,173,University
1756,2016,Male,Health Sciences,205,525,112,University
1757,2016,Male,Humanities & Social Sciences,1014,4046,803,University
1758,2016,Male,Information Technology,981,3311,670,University
1759,2016,Male,Law,189,853,178,University
1760,2016,Male,Mass Communication,42,178,35,University
1761,2016,Male,Medicine,206,933,131,University
1762,2016,Male,Natural & Mathematical Sciences,854,3300,755,University
1763,2016,Male,Services,91,355,84,University
1764,2017,Male,Accountancy,674,2263,553,University
1765,2017,Male,"Architecture, Building & Real Estate",191,793,195,University
1766,2017,Male,Business & Administration,988,3500,755,University
1767,2017,Male,Dentistry,24,76,23,University
1768,2017,Male,Education,20,125,54,University
1769,2017,Male,Engineering Sciences,3781,12399,3132,University
1770,2017,Male,Fine & Applied Arts,188,672,167,University
1771,2017,Male,Health Sciences,259,633,142,University
1772,2017,Male,Humanities & Social Sciences,1105,4185,945,University
1773,2017,Male,Information Technology,1131,3761,647,University
1774,2017,Male,Law,190,847,187,University
1775,2017,Male,Mass Communication,54,182,48,University
1776,2017,Male,Medicine,229,1016,145,University
1777,2017,Male,Natural & Mathematical Sciences,680,3282,730,University
1778,2017,Male,Services,81,335,99,University
1779,2018,Male,Accountancy,690,2321,579,University
1780,2018,Male,"Architecture, Building & Real Estate",178,803,174,University
1781,2018,Male,Business & Administration,1084,3741,837,University
1782,2018,Male,Dentistry,27,89,14,University
1783,2018,Male,Education,35,100,57,University
1784,2018,Male,Engineering Sciences,3729,12747,3154,University
1785,2018,Male,Fine & Applied Arts,163,662,180,University
1786,2018,Male,Health Sciences,273,751,150,University
1787,2018,Male,Humanities & Social Sciences,1041,4220,945,University
1788,2018,Male,Information Technology,1354,4238,871,University
1789,2018,Male,Law,254,890,238,University
1790,2018,Male,Mass Communication,42,178,46,University
1791,2018,Male,Medicine,229,1079,166,University
1792,2018,Male,Natural & Mathematical Sciences,823,3225,839,University
1793,2018,Male,Services,118,353,98,University
1794,2019,Male,Accountancy,653,2327,588,University
1795,2019,Male,"Architecture, Building & Real Estate",204,847,182,University
1796,2019,Male,Business & Administration,1251,4134,847,University
1797,2019,Male,Dentistry,21,91,19,University
1798,2019,Male,Education,34,106,33,University
1799,2019,Male,Engineering Sciences,3628,13026,3232,University
1800,2019,Male,Fine & Applied Arts,174,637,181,University
1801,2019,Male,Health Sciences,261,852,154,University
1802,2019,Male,Humanities & Social Sciences,1012,4227,978,University
1803,2019,Male,Information Technology,1646,5012,803,University
1804,2019,Male,Law,250,912,217,University
1805,2019,Male,Mass Communication,24,161,41,University
1806,2019,Male,Medicine,236,1117,194,University
1807,2019,Male,Natural & Mathematical Sciences,724,3135,791,University
1808,2019,Male,Services,116,363,95,University
1809,2020,Male,Accountancy,556,2223,599,University
1810,2020,Male,"Architecture, Building & Real Estate",179,840,168,University
1811,2020,Male,Business & Administration,1339,4591,896,University
1812,2020,Male,Dentistry,13,88,16,University
1813,2020,Male,Education,31,113,30,University
1814,2020,Male,Engineering Sciences,3722,12901,3375,University
1815,2020,Male,Fine & Applied Arts,133,606,157,University
1816,2020,Male,Health Sciences,257,892,202,University
1817,2020,Male,Humanities & Social Sciences,929,4109,1022,University
1818,2020,Male,Information Technology,2017,6014,970,University
1819,2020,Male,Law,204,916,190,University
1820,2020,Male,Mass Communication,28,148,39,University
1821,2020,Male,Medicine,253,1158,208,University
1822,2020,Male,Natural & Mathematical Sciences,788,3089,801,University
1823,2020,Male,Services,143,402,107,University
1824,2021,Male,Accountancy,599,2133,623,University
1825,2021,Male,"Architecture, Building & Real Estate",175,793,211,University
1826,2021,Male,Business & Administration,1437,4954,1021,University
1827,2021,Male,Dentistry,16,79,25,University
1828,2021,Male,Education,44,134,24,University
1829,2021,Male,Engineering Sciences,3719,13112,3332,University
1830,2021,Male,Fine & Applied Arts,125,544,174,University
1831,2021,Male,Health Sciences,276,964,201,University
1832,2021,Male,Humanities & Social Sciences,938,4000,1014,University
1833,2021,Male,Information Technology,2247,7192,992,University
1834,2021,Male,Law,255,966,199,University
1835,2021,Male,Mass Communication,36,134,52,University
1836,2021,Male,Medicine,244,1199,201,University
1837,2021,Male,Natural & Mathematical Sciences,857,3159,746,University
1838,2021,Male,Services,152,454,98,University
1839,2022,Male,Accountancy,510,2004,559,University
1840,2022,Male,"Architecture, Building & Real Estate",171,1232,200,University
1841,2022,Male,Business & Administration,1570,5264,1114,University
1842,2022,Male,Dentistry,26,87,26,University
1843,2022,Male,Education,39,126,34,University
1844,2022,Male,Engineering Sciences,3602,12633,3467,University
1845,2022,Male,Fine & Applied Arts,121,575,134,University
1846,2022,Male,Health Sciences,263,1125,230,University
1847,2022,Male,Humanities & Social Sciences,846,4336,990,University
1848,2022,Male,Information Technology,2211,7701,1229,University
1849,2022,Male,Law,222,873,231,University
1850,2022,Male,Mass Communication,27,116,44,University
1851,2022,Male,Medicine,215,1089,229,University
1852,2022,Male,Natural & Mathematical Sciences,832,2994,774,University
1853,2022,Male,Services,140,493,93,University
1854,2023,Male,Accountancy,499,1928,533,University
1855,2023,Male,"Architecture, Building & Real Estate",113,690,182,University
1856,2023,Male,Business & Administration,1236,5119,1185,University
1857,2023,Male,Dentistry,31,89,21,University
1858,2023,Male,Education,40,119,33,University
1859,2023,Male,Engineering Sciences,3747,13408,3049,University
1860,2023,Male,Fine & Applied Arts,131,499,149,University
1861,2023,Male,Health Sciences,279,1007,230,University
1862,2023,Male,Humanities & Social Sciences,1278,5443,1310,University
1863,2023,Male,Information Technology,2667,9359,1647,University
1864,2023,Male,Law,221,913,238,University
1865,2023,Male,Mass Communication,31,122,25,University
1866,2023,Male,Medicine,215,1160,231,University
1867,2023,Male,Natural & Mathematical Sciences,390,1487,336,University
1868,2023,Male,Services,177,542,123,University
1869,2024,Male,Accountancy,394,1718,533,University
1870,2024,Male,"Architecture, Building & Real Estate",91,563,190,University
1871,2024,Male,Business & Administration,1267,5375,1303,University
1872,2024,Male,Dentistry,29,106,11,University
1873,2024,Male,Education,38,146,30,University
1874,2024,Male,Engineering Sciences,3694,13577,3416,University
1875,2024,Male,Fine & Applied Arts,138,507,124,University
1876,2024,Male,Health Sciences,286,1031,253,University
1877,2024,Male,Humanities & Social Sciences,1267,5430,1237,University
1878,2024,Male,Information Technology,2817,9839,1902,University
1879,2024,Male,Law,202,912,196,University
1880,2024,Male,Mass Communication,23,117,27,University
1881,2024,Male,Medicine,208,1125,239,University
1882,2024,Male,Natural & Mathematical Sciences,398,1517,360,University
1883,2024,Male,Services,178,591,124,University
